Location_Name,Located_City,Location_Type,Latitude,Longitude
"Arugam Bay","Arugam Bay","Beaches","6.84143","81.83245"
"Bentota Beach","Bentota","Beaches","6.42042","80.00228"
"Hikkaduwa Beach","Hikkaduwa","Beaches","6.13964","80.10499"
"Jungle Beach","Unawatuna","Beaches","6.75517","81.22956"
"Kalutara Beach","Kalutara","Beaches","6.61071","79.94744"
"Marble Beach","Trincomalee","Beaches","8.51046","81.21066"
"Mirissa Beach","Mirissa","Beaches","5.95322","80.45422"
"Mount Lavinia Beach","Colombo","Beaches","6.83834","79.86349"
"Negombo Beach","Negombo","Beaches","7.22597","79.84013"
"Nilaveli Beach","Nilaveli","Beaches","8.68145","81.19978"
"Passikudah Beach","Kalkudah","Beaches","7.92853","81.56009"
"Gregory Lake","Nuwara Eliya","Bodies of Water","6.95654","80.77714"
"Kandy Lake","Kandy","Bodies of Water","7.29095","80.6433"
"Tissa Wewa","Tissamaharama","Bodies of Water","6.20193","81.19596"
"Twin Baths (Kuttam Pokuna)","Anuradhapura","Bodies of Water","8.37119","80.38933"
"Ambewela Farms","Nuwara Eliya","Farms","6.86886","80.79585"
"Bluefield Tea Gardens","Nuwara Eliya","Farms","7.04235","80.69826"
"Dambatenne Tea Factory","Haputale","Farms","7.21692","80.66972"
"Damro Labookellie Tea Centre and Tea Garden","Nuwara Eliya","Farms","7.02384","80.71941"
"Glenloch Tea Factory","Katukitula","Farms","7.07925","80.67388"
"Halpewatte Tea Factory Tour","Ella","Farms","6.87301","81.05181"
"Handunugoda Tea Estate","Ahangama","Farms","7.10668","80.76553"
"Pedro Tea Factory","Nuwara Eliya","Farms","6.97007","80.7964"
"Brief Garden - Bevis Bawa","Beruwala","Gardens","7.29501","80.31053"
"Hakgala Botanic Gardens","Nuwara Eliya","Gardens","6.95612","80.77808"
"New Ranweli Spice Garden","Kandy","Gardens","7.25131","80.51955"
"Royal Botanical Gardens","Peradeniya","Gardens","7.10031","79.9911"
"Victoria Park of Nuwara Eliya","Nuwara Eliya","Gardens","6.96919","80.76843"
"Galle Fort","Galle","Historic Sites","6.02419","80.2178"
"Jaffna Fort","Jaffna","Historic Sites","9.6709","80.00168"
"Lipton�s Seat","Haputale","Historic Sites","7.23991","80.67837"
"Polonnaruwa","Polonnaruwa","Historic Sites","7.9422","81.00787"
"Ritigala Forest Monastery","Anuradhapura","Historic Sites","8.34924","80.41374"
"Sigiriya The Ancient Rock Fortress","Sigiriya","Historic Sites","7.9562","80.75933"
"Ariyapala Mask Museum","Ambalangoda","Museums","6.77648","79.9636"
"Ceylon Tea Museum","Kandy","Museums","7.26883","80.63225"
"Colombo National Museum","Colombo","Museums","6.90959","79.86031"
"Community Tsunami Museum","Hikkaduwa","Museums","6.14268","80.10857"
"Martin Wickramasinghe Folk Museum Complex","Galle","Museums","5.9896","80.32731"
"Sigiriya Museum","Sigiriya","Museums","7.95713","80.75135"
"World Buddhist Museum","Kandy","Museums","7.29435","80.64117"
"Bundala National Park","Weligatta","National Parks","6.20161","81.19612"
"Horton Plains National Park","Nuwara Eliya","National Parks","6.81011","80.80297"
"Kaudulla National Park","Habarana","National Parks","8.03911","80.7552"
"Kumana National Park","Ampara","National Parks","6.52907","81.70597"
"Minneriya National Park","Habarana","National Parks","8.03894","80.90665"
"Pigeon Island National Park","Nilaveli","National Parks","8.6853","81.19847"
"Udawalawe National Park","Embilipitiya","National Parks","6.32511","80.85432"
"Kalametiya Eco Bird Watching","Kalametiya","Nature & Wildlife Areas","6.08377","80.94213"
"Minneriya Tusker Safaris","Sigiriya","Nature & Wildlife Areas","7.94946","80.75037"
"Pinnawala Elephant Orphanage","Pinnawala","Nature & Wildlife Areas","6.87143","80.12106"
"Sea Turtle Farm Galle Mahamodara","Galle","Nature & Wildlife Areas","6.04083","80.19842"
"Sinharaja Forest Reserve","Deniyaya","Nature & Wildlife Areas","6.34372","80.55821"
"Udawattekele Sanctuary","Kandy","Nature & Wildlife Areas","7.29902","80.63977"
"Wilpattu National Park","Saliyapura","Nature & Wildlife Areas","",""
"Baker's Falls","Nuwara Eliya","Waterfalls","6.79271","80.79075"
"Diyaluma Falls","Koslanda","Waterfalls","6.74203","81.01711"
"Lover's Leap Falls","Nuwara Eliya","Waterfalls","6.97773","80.78632"
"Ramboda Waterfall","Pussellawa","Waterfalls","7.04778","80.69685"
"Ravana Ella Falls","Ella","Waterfalls","6.87294","81.04911"
"St Clair's Falls","Nuwara Eliya","Waterfalls","6.94745","80.64558"
"National Zoological Gardens of Sri Lanka","Colombo","Zoological Gardens","6.91189","79.85041"
"Dagoba of Thuparama","Anuradhapura","Religious Sites","8.35548","80.40112"
"Isurumuniya Temple","Anuradhapura","Religious Sites","8.33422","80.39057"
"Jaya Sri Maha Bodhi","Anuradhapura","Religious Sites","8.34485","80.39775"
"Jethawanaramaya Stupa","Anuradhapura","Religious Sites","8.35331","80.40484"
"Mihintale","Anuradhapura","Religious Sites","8.35901","80.51358"
"Ruwanwelisaya","Anuradhapura","Religious Sites","8.35136","80.39694"
"Abhayagiri Dagaba","Anuradhapura","Religious Sites","8.37052","80.39636"
"Samadhi Statue","Anuradhapura","Religious Sites","8.37002","80.39817"
"Kelaniya Raja Maha Vihara","Colombo","Religious Sites","6.94878","79.92155"
"Gangaramaya (Vihara) Buddhist Temple","Colombo","Religious Sites","6.91791","79.85787"
"Temple of the Sacred Tooth Relic","Kandy","Religious Sites","7.29364","80.64135"
"Dambulla Cave Temple","Habarana","Religious Sites","7.8744","80.65129"
"Koneswaram Temple","Trincomalee","Religious Sites","8.58226","81.24544"
"Nallur Kovil","Jaffna","Religious Sites","9.67422","80.02989"
